current_price,original_price,listing_title,condition,brand_name,brand_num,model_name,model_num,condition_num,discount,is_discounted,country,country_num,length,log_current_price,log_original_price
2364.18,2364.18,Fender Stratocaster Eric Clapton 1988 Torino Red 1st year issue & like NEW !,Mint,fender,2,strat,1,1,0.0,0.0,other,0.0,76,7.768186517759303,7.768186517759303
552.55,552.55,Fender Player Stratocaster with Pau Ferro Fretboard 2018 - 2020 Polar White,Mint,fender,2,strat,1,1,0.0,0.0,other,0.0,75,6.314543927034791,6.314543927034791
1022.24,1022.24,2016 Fender American Professional Jazzmaster,Excellent,fender,2,jazzmaster,4,2,0.0,0.0,usa,2.0,44,6.929751576854033,6.929751576854033
473.62,473.62,Fender Player Lead II 2020 Crimson Red Transparent,Mint,fender,2,other,0,1,0.0,0.0,other,0.0,50,6.1604053124078755,6.1604053124078755
2791.6,2791.6,Fender Strato '57 Hvy Relic 2010 Dakota Red,Excellent,fender,2,strat,1,2,0.0,0.0,other,0.0,43,7.934370187142997,7.934370187142997
1710.97,2012.91,Danelectro Model 3923 Double Neck 1964 Copperburst with original hard case.,Very Good,danelectro,6,other,0,3,301.94000000000005,1.0,other,0.0,75,7.4448157401324,7.607336715251325
3219.98,3788.21,Gibson Custom Shop Les Paul Custom Alpine White Gloss Made 2 Measure,Excellent,gibson,4,les paul,5,2,568.23,1.0,other,0.0,68,8.077130427339041,8.239648890995303
2385.46,2385.46,Blade RH-4EG HN Classic Honey 30´th Anniversary - Made in Europe,Excellent,other,0,other,0,2,0.0,0.0,other,0.0,64,7.777147256842406,7.777147256842406
3236.44,3236.44,Fender Jaguar 1965 Pre CBS Original Vintage Sunburst,Very Good,fender,2,jaguar,3,3,0.0,0.0,other,0.0,52,8.082229239269,8.082229239269
2525.21,2841.74,Gibson Custom Shop '61 SG Reissue Cherry Gloss Electric Guitar,Mint,gibson,4,sg,7,1,316.52999999999975,1.0,other,0.0,62,7.834079506567999,7.95217181960224
2986.73,2986.73,Schecter USA Custom Shop Dream Machine II – incl. Case – Neuzustand,Mint,schecter,7,other,0,1,0.0,0.0,other,0.0,67,8.001934422433179,8.001934422433179
